"2954.2;Mar 06, 2020"
"2863.89;Mar 09, 2020"
"2813.48;Mar 10, 2020"
"2825.6;Mar 11, 2020"
"2630.86;Mar 12, 2020"
"2569.99;Mar 13, 2020"
"2508.59;Mar 16, 2020"
"2425.66;Mar 17, 2020"
"2436.5;Mar 18, 2020"
"2393.48;Mar 19, 2020"
"2431.94;Mar 20, 2020"
"2290.71;Mar 23, 2020"
"2344.44;Mar 24, 2020"
"2457.77;Mar 25, 2020"
"2501.29;Mar 26, 2020"
"2555.87;Mar 27, 2020"
"2558.98;Mar 30, 2020"
"2614.69;Mar 31, 2020"
"2498.08;Apr 01, 2020"
"2458.54;Apr 02, 2020"
"2514.92;Apr 03, 2020"
"2578.28;Apr 06, 2020"
"2738.65;Apr 07, 2020"
"2685;Apr 08, 2020"
"2776.99;Apr 09, 2020"
"2782.46;Apr 13, 2020"
"2805.1;Apr 14, 2020"
"2795.64;Apr 15, 2020"
"2799.34;Apr 16, 2020"
"2842.43;Apr 17, 2020"
"2845.62;Apr 20, 2020"
"2784.81;Apr 21, 2020"
"2787.89;Apr 22, 2020"
"2810.42;Apr 23, 2020"
"2812.64;Apr 24, 2020"
"2854.65;Apr 27, 2020"
"2909.96;Apr 28, 2020"
"2918.46;Apr 29, 2020"
"2930.91;Apr 30, 2020"
"2869.09;May 01, 2020"
"2815.01;May 04, 2020"
"2868.88;May 05, 2020"
"2883.14;May 06, 2020"
"2878.26;May 07, 2020"
"2908.83;May 08, 2020"
"2915.46;May 11, 2020"
"2939.5;May 12, 2020"
"2865.86;May 13, 2020"
"2794.54;May 14, 2020"
"2829.95;May 15, 2020"
"2913.86;May 18, 2020"
"2948.59;May 19, 2020"
"2953.63;May 20, 2020"
"2969.95;May 21, 2020"
"2948.05;May 22, 2020"
"3004.08;May 26, 2020"
"3015.65;May 27, 2020"
"3046.61;May 28, 2020"
"3025.17;May 29, 2020"
"3038.78;Jun 01, 2020"
"3064.78;Jun 02, 2020"
"3098.9;Jun 03, 2020"
"3111.56;Jun 04, 2020"
"3163.84;Jun 05, 2020"
"3199.92;Jun 08, 2020"
"3213.32;Jun 09, 2020"
"3213.42;Jun 10, 2020"
"3123.53;Jun 11, 2020"
"3071.04;Jun 12, 2020"
"2993.76;Jun 15, 2020"
"3131;Jun 16, 2020"
"3136.13;Jun 17, 2020"
"3101.64;Jun 18, 2020"
"3140.29;Jun 19, 2020"
"3094.42;Jun 22, 2020"
"3138.7;Jun 23, 2020"
"3114.4;Jun 24, 2020"
"3046.6;Jun 25, 2020"
"3073.2;Jun 26, 2020"
"3018.59;Jun 29, 2020"
"3050.2;Jun 30, 2020"
"3105.92;Jul 01, 2020"
"3143.64;Jul 02, 2020"
"3155.29;Jul 06, 2020"
"3166.44;Jul 07, 2020"
"3153.07;Jul 08, 2020"
"3176.17;Jul 09, 2020"
"3152.47;Jul 10, 2020"
"3205.08;Jul 13, 2020"
"3141.11;Jul 14, 2020"
"3225.98;Jul 15, 2020"
"3208.36;Jul 16, 2020"
"3224.21;Jul 17, 2020"
"3224.29;Jul 20, 2020"
"3268.52;Jul 21, 2020"
"3254.86;Jul 22, 2020"
"3271.64;Jul 23, 2020"
"3218.58;Jul 24, 2020"
"3219.84;Jul 27, 2020"
"3234.27;Jul 28, 2020"
"3227.22;Jul 29, 2020"
"3231.76;Jul 30, 2020"
"3270.45;Jul 31, 2020"
"3288.26;Aug 03, 2020"
"3289.92;Aug 04, 2020"
"3317.37;Aug 05, 2020"
"3323.17;Aug 06, 2020"
"3340.05;Aug 07, 2020"
"3356.04;Aug 10, 2020"
"3370.34;Aug 11, 2020"
"3355.46;Aug 12, 2020"
"3372.95;Aug 13, 2020"
"3368.66;Aug 14, 2020"
"3380.86;Aug 17, 2020"
"3387.04;Aug 18, 2020"
"3392.51;Aug 19, 2020"
"3360.48;Aug 20, 2020"
"3386.01;Aug 21, 2020"
"3418.09;Aug 24, 2020"
"3435.95;Aug 25, 2020"
"3449.97;Aug 26, 2020"
"3485.14;Aug 27, 2020"
"3494.69;Aug 28, 2020"
"3509.73;Aug 31, 2020"
"3507.44;Sep 01, 2020"
"3543.76;Sep 02, 2020"
"3564.74;Sep 03, 2020"
"3453.6;Sep 04, 2020"
"3371.88;Sep 08, 2020"
"3369.82;Sep 09, 2020"
"3412.56;Sep 10, 2020"
"3352.7;Sep 11, 2020"
"3363.56;Sep 14, 2020"
"3407.73;Sep 15, 2020"
"3411.23;Sep 16, 2020"
"3346.86;Sep 17, 2020"
"3357.38;Sep 18, 2020"
"3285.57;Sep 21, 2020"
"3295.75;Sep 22, 2020"
"3320.11;Sep 23, 2020"
"3226.14;Sep 24, 2020"
"3236.66;Sep 25, 2020"
"3333.9;Sep 28, 2020"
"3350.92;Sep 29, 2020"
"3341.21;Sep 30, 2020"
"3385.87;Oct 01, 2020"
"3338.94;Oct 02, 2020"
"3367.27;Oct 05, 2020"
"3408.74;Oct 06, 2020"
"3384.56;Oct 07, 2020"
"3434.28;Oct 08, 2020"
"3459.67;Oct 09, 2020"
"3500.02;Oct 12, 2020"
"3534.01;Oct 13, 2020"
"3515.47;Oct 14, 2020"
"3453.72;Oct 15, 2020"
"3493.5;Oct 16, 2020"
"3493.66;Oct 19, 2020"
"3439.38;Oct 20, 2020"
"3439.91;Oct 21, 2020"
"3438.5;Oct 22, 2020"
"3464.9;Oct 23, 2020"
"3441.42;Oct 26, 2020"
"3403.15;Oct 27, 2020"
"3342.48;Oct 28, 2020"
"3277.17;Oct 29, 2020"
"3293.59;Oct 30, 2020"
"3296.2;Nov 02, 2020"
"3336.25;Nov 03, 2020"
"3406.46;Nov 04, 2020"
"3485.74;Nov 05, 2020"
"3508.34;Nov 06, 2020"
"3583.04;Nov 09, 2020"
"3543.26;Nov 10, 2020"
"3563.22;Nov 11, 2020"
"3562.67;Nov 12, 2020"
"3552.57;Nov 13, 2020"
"3600.16;Nov 16, 2020"
"3610.31;Nov 17, 2020"
"3612.09;Nov 18, 2020"
"3559.41;Nov 19, 2020"
"3579.31;Nov 20, 2020"
"3566.82;Nov 23, 2020"
"3594.52;Nov 24, 2020"
"3635.5;Nov 25, 2020"
"3638.55;Nov 27, 2020"
"3634.18;Nov 30, 2020"
"3645.87;Dec 01, 2020"
"3653.78;Dec 02, 2020"
"3668.28;Dec 03, 2020"
"3670.94;Dec 04, 2020"
"3694.73;Dec 07, 2020"
"3683.05;Dec 08, 2020"
"3705.98;Dec 09, 2020"
"3659.13;Dec 10, 2020"
"3656.08;Dec 11, 2020"
"3675.27;Dec 14, 2020"
"3666.41;Dec 15, 2020"
"3696.25;Dec 16, 2020"
"3713.65;Dec 17, 2020"
"3722.39;Dec 18, 2020"
"3684.28;Dec 21, 2020"
"3698.08;Dec 22, 2020"
"3693.42;Dec 23, 2020"
"3694.03;Dec 24, 2020"
"3723.03;Dec 28, 2020"
"3750.01;Dec 29, 2020"
"3736.19;Dec 30, 2020"
"3733.27;Dec 31, 2020"
"3764.61;Jan 04, 2021"
"3698.02;Jan 05, 2021"
"3712.2;Jan 06, 2021"
"3764.71;Jan 07, 2021"
"3815.05;Jan 08, 2021"
"3803.14;Jan 11, 2021"
"3801.62;Jan 12, 2021"
"3802.23;Jan 13, 2021"
"3814.98;Jan 14, 2021"
"3788.73;Jan 15, 2021"
"3781.88;Jan 19, 2021"
"3816.22;Jan 20, 2021"
"3857.46;Jan 21, 2021"
